date, open, high, low, close, volume, oi
2002-03-18,72.075,72.3,71.825,72.15,10,0
2002-03-19,71.95,72.425,71.225,71.225,10,0
2002-03-20,70.85,71.6,70.75,70.95,10,0
2002-03-21,70.525,70.525,70.525,70.525,10,0
2002-03-22,69.775,69.775,69.775,69.775,10,0
2002-03-25,69.7,69.7,69.7,69.7,10,0
2002-03-26,70.375,70.375,70.375,70.375,10,0
2002-03-27,69.85,71.1,69.8,69.9,10,0
2002-03-28,70.425,70.425,70.425,70.425,10,0
2002-04-01,71.625,71.925,71.625,71.925,10,0
2002-04-02,71.925,71.925,71.925,71.925,10,0
2002-04-03,71.625,71.625,71.625,71.625,10,0
2002-04-04,70.125,70.125,70.125,70.125,10,0
2002-04-05,68.675,68.675,68.675,68.675,10,0
2002-04-08,67.675,67.675,67.675,67.675,10,0
2002-04-09,68.925,68.925,68.925,68.925,10,0
2002-04-10,67.425,67.425,67.425,67.425,10,0
2002-04-11,67,67,67,67,10,0
2002-04-12,65.875,65.875,65.875,65.875,10,0
2002-04-15,65.225,65.225,65.225,65.225,10,0
2002-04-16,65.475,65.475,65.475,65.475,10,0
2002-04-17,66.075,66.075,66.075,66.075,10,0
2002-04-18,65.5,65.5,65.5,65.5,10,0
2002-04-19,64.1,64.1,64.1,64.1,10,0
2002-04-22,64.275,64.275,64.275,64.275,10,0
2002-04-23,64.05,64.05,64.05,64.05,10,0
2002-04-24,63.4,63.4,63.4,63.4,10,0
2002-04-25,63.8,63.8,63.8,63.8,10,0
2002-04-26,65.3,65.3,65.3,65.3,10,0
2002-04-29,65.25,65.25,65.25,65.25,10,0
2002-04-30,66.7,66.7,66.7,66.7,0,0
2002-05-01,63.225,63.225,63.225,63.225,10,0
2002-05-02,62.25,62.25,62.25,62.25,10,0
2002-05-03,62.125,62.125,62.125,62.125,10,0
2002-05-06,63.625,63.625,63.625,63.625,10,0
2002-05-07,64.175,64.175,64.175,64.175,10,0
2002-05-08,63.65,63.65,63.65,63.65,10,0
