,id,date,principal,capital,security,cash,fixed_capital,profit,flame,risk,system_heat,sector_heat,sector_risk,max_capital,dd,mdd,cagr,commission
0,1,2002-01-02,100000,100000.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,{},{},100000.0,0.0,0.0,0.0,0.0
1,2,2002-01-02,100000,99994.02,3630.0,96364.02,97844.02,0.0,0.0,-2150.0,-0.021501285776889457,{'currency': -0.021501285776889457},{'currency': -2150.0},100000.0,0.005979999999995925,0.005979999999995925,-0.02159115331037531,5.98
2,3,2002-01-02,100000,100204.02,3840.0,96364.02,97844.02,0.0,210.0,-2360.0,-0.02355194931301159,{'currency': -0.02355194931301159},{'currency': -2360.0},100204.02,0.0,0.005979999999995925,1.104155903405859,5.98
3,4,2002-01-03,100000,100204.02,3840.0,96364.02,97844.02,0.0,210.0,-2360.0,-0.02355194931301159,{'currency': -0.02355194931301159},{'currency': -2360.0},100204.02,0.0,0.005979999999995925,0.4505708887902924,5.98
4,5,2002-01-03,100000,100204.02,3840.0,96364.02,97844.02,0.0,210.0,-2360.0,-0.02355194931301159,{'currency': -0.02355194931301159},{'currency': -2360.0},100204.02,0.0,0.005979999999995925,0.4505708887902924,5.98
5,6,2002-01-03,100000,100144.02,3780.0,96364.02,97844.02,0.0,150.0,-2300.0,-0.022966923037441477,{'currency': -0.022966923037441477},{'currency': -2300.0},100204.02,0.05987783723647015,0.05987783723647015,0.30036814516202504,5.98
6,7,2002-01-04,100000,100144.02,3780.0,96364.02,97844.02,0.0,150.0,-2300.0,-0.022966923037441477,{'currency': -0.022966923037441477},{'currency': -2300.0},100204.02,0.05987783723647015,0.05987783723647015,0.19136329245500594,5.98
7,8,2002-01-04,100000,100144.02,3780.0,96364.02,97844.02,0.0,150.0,-2300.0,-0.022966923037441477,{'currency': -0.022966923037441477},{'currency': -2300.0},100204.02,0.05987783723647015,0.05987783723647015,0.19136329245500594,5.98
8,9,2002-01-04,100000,101364.02,5000.0,96364.02,97844.02,0.0,1370.0,-3520.0,-0.03472632596852414,{'currency': -0.03472632596852414},{'currency': -3520.0},101364.02,0.0,0.05987783723647015,4.1983496431640654,5.98
9,10,2002-01-07,100000,101364.02,5000.0,96364.02,97844.02,0.0,1370.0,-3520.0,-0.03472632596852414,{'currency': -0.03472632596852414},{'currency': -3520.0},101364.02,0.0,0.05987783723647015,1.2799889568074811,5.98
10,11,2002-01-07,100000,101364.02,5000.0,96364.02,97844.02,0.0,1370.0,-3520.0,-0.03472632596852414,{'currency': -0.03472632596852414},{'currency': -3520.0},101364.02,0.0,0.05987783723647015,1.2799889568074811,5.98
11,12,2002-01-07,100000,101358.04,20840.0,80518.04,96138.04,0.0,1370.0,-5220.0,-0.05150060123498837,"{'currency': -0.034728374779149244, 'metal': -0.016772226455839125}","{'currency': -3520.0, 'metal': -1700.0}",101364.02,0.005899529241253925,0.05987783723647015,1.2718207745197279,11.96
12,13,2002-01-07,100000,100758.04,20240.0,80518.04,96138.04,0.0,770.0,-4620.0,-0.04585242031305889,"{'currency': -0.031560756838858714, 'metal': -0.014291663474200174}","{'currency': -3180.0, 'metal': -1440.0}",101364.02,0.5978255400683699,0.5978255400683699,0.5831269384740292,11.96
13,14,2002-01-08,100000,100758.04,20240.0,80518.04,96138.04,0.0,770.0,-4620.0,-0.04585242031305889,"{'currency': -0.031560756838858714, 'metal': -0.014291663474200174}","{'currency': -3180.0, 'metal': -1440.0}",101364.02,0.5978255400683699,0.5978255400683699,0.4825641373390084,11.96
14,15,2002-01-08,100000,100758.04,20240.0,80518.04,96138.04,0.0,770.0,-4620.0,-0.04585242031305889,"{'currency': -0.031560756838858714, 'metal': -0.014291663474200174}","{'currency': -3180.0, 'metal': -1440.0}",101364.02,0.5978255400683699,0.5978255400683699,0.4825641373390084,11.96
15,16,2002-01-08,100000,100758.04,20240.0,80518.04,96138.04,0.0,770.0,-4620.0,-0.04585242031305889,"{'currency': -0.031560756838858714, 'metal': -0.014291663474200174}","{'currency': -3180.0, 'metal': -1440.0}",101364.02,0.5978255400683699,0.5978255400683699,0.4825641373390084,11.96
16,17,2002-01-08,100000,101818.04,21300.0,80518.04,96138.04,0.0,1830.0,-5680.0,-0.05578579198735313,"{'currency': -0.04105362861041128, 'metal': -0.014732163376941847}","{'currency': -4180.0, 'metal': -1500.0}",101818.04,0.0,0.5978255400683699,1.5586089470599842,11.96
17,18,2002-01-09,100000,101818.04,21300.0,80518.04,96138.04,0.0,1830.0,-5680.0,-0.05578579198735313,"{'currency': -0.04105362861041128, 'metal': -0.014732163376941847}","{'currency': -4180.0, 'metal': -1500.0}",101818.04,0.0,0.5978255400683699,1.2751153727376026,11.96
18,19,2002-01-09,100000,101818.04,21300.0,80518.04,96138.04,0.0,1830.0,-5680.0,-0.05578579198735313,"{'currency': -0.04105362861041128, 'metal': -0.014732163376941847}","{'currency': -4180.0, 'metal': -1500.0}",101818.04,0.0,0.5978255400683699,1.2751153727376026,11.96
19,20,2002-01-09,100000,101818.04,21300.0,80518.04,96138.04,0.0,1830.0,-5680.0,-0.05578579198735313,"{'currency': -0.04105362861041128, 'metal': -0.014732163376941847}","{'currency': -4180.0, 'metal': -1500.0}",101818.04,0.0,0.5978255400683699,1.2751153727376026,11.96
20,21,2002-01-09,100000,102858.04,22340.0,80518.04,96138.04,0.0,2870.0,-6720.0,-0.06533276348645181,"{'currency': -0.04199963366986188, 'metal': -0.023333129816589936}","{'currency': -4320.0, 'metal': -2400.0}",102858.04,0.0,0.5978255400683699,2.617178171619276,11.96
21,22,2002-01-10,100000,102858.04,22340.0,80518.04,96138.04,0.0,2870.0,-6720.0,-0.06533276348645181,"{'currency': -0.04199963366986188, 'metal': -0.023333129816589936}","{'currency': -4320.0, 'metal': -2400.0}",102858.04,0.0,0.5978255400683699,2.1356588104991525,11.96
22,23,2002-01-10,100000,102858.04,22340.0,80518.04,96138.04,0.0,2870.0,-6720.0,-0.06533276348645181,"{'currency': -0.04199963366986188, 'metal': -0.023333129816589936}","{'currency': -4320.0, 'metal': -2400.0}",102858.04,0.0,0.5978255400683699,2.1356588104991525,11.96
23,24,2002-01-10,100000,102858.04,22340.0,80518.04,96138.04,0.0,2870.0,-6720.0,-0.06533276348645181,"{'currency': -0.04199963366986188, 'metal': -0.023333129816589936}","{'currency': -4320.0, 'metal': -2400.0}",102858.04,0.0,0.5978255400683699,2.1356588104991525,11.96
24,25,2002-01-10,100000,103218.04,22700.0,80518.04,96138.04,0.0,3230.0,-7080.0,-0.06859266074031245,"{'currency': -0.03817162193740552, 'metal': -0.030421038802906936}","{'currency': -3940.0, 'metal': -3140.0}",103218.04,0.0,0.5978255400683699,2.612986388933751,11.96
