,id,entrydate,name,symbol,sector,position,entryprice,entrylots,entryrisk,entryrisk_ticks,commission,#exits,exit(0)_date,exit(0)_price,exit(0)_lots,exit(0)_profit,exit(0)_profit_ticks,exit(0)_duration,exit(0)_type,exitdate,profit,profit_ticks,duration,result,currentprice,stopprice,risk,risk_ticks,lots,flame,on_fire
0,1,2002-01-02,CME Australian Dollar AUD,AD,currency,Long,0.1531504008293152,2,2150.0,215,5.98,1,2002-07-17,0.19980043172836304,2.0,9330.0,933.0,196.0,stop,2002-07-17,9330.0,933,196.0,WIN,0.19980043172836304,0.19980043172836304,0.0,0,0,0.0,False
1,2,2002-01-07,NYMEX Gold,GC,metal,Long,654.40078125,2,1700.0,85,5.98,1,2002-06-28,681.600830078125,2.0,5440.0,272.0,172.0,stop,2002-06-28,5440.0,272,172.0,WIN,681.600830078125,681.600830078125,0.0,0,0,0.0,False
2,3,2002-04-02,NYMEX WTI Crude Oil,CL,petroleum,Long,126.98993591308594,1,6590.0,659,2.99,1,2002-05-30,125.08992004394531,1.0,-1900.0,-190.0,58.0,stop,2002-05-30,-1900.0,-190,58.0,LOSE,125.08992004394531,125.08992004394531,0.0,0,0,-0.0,False
3,4,2002-04-03,NYMEX WTI Crude Oil,CL,petroleum,Long,127.21991760253906,1,6820.0,682,2.99,1,2002-05-30,125.08992004394531,1.0,-2130.0,-213.0,57.0,stop,2002-05-30,-2130.0,-213,57.0,LOSE,125.08992004394531,125.08992004394531,0.0,0,0,-0.0,False
4,5,2002-05-24,CBOT Soybean Oil,BO,grain,Long,37.040000915527344,2,2148.0,179,5.98,1,2002-09-16,38.51000213623047,2.0,1764.0,147.0,115.0,stop,2002-09-16,1764.0,147,115.0,WIN,38.51000213623047,38.51000213623047,0.0,0,0,0.0,False
5,6,2002-05-31,NYMEX WTI Crude Oil,CL,petroleum,Long,125.42992248535157,2,1300.0,65,5.98,1,2002-06-06,124.77992248535156,2.0,-1300.0,-65.0,6.0,stop,2002-06-06,-1300.0,-65,6.0,LOSE,124.77992248535156,124.77992248535156,0.0,0,0,-0.0,False
6,7,2002-06-07,NYMEX WTI Crude Oil,CL,petroleum,Long,125.20991638183594,2,1260.0,63,5.98,1,2002-06-10,124.57994079589844,2.0,-1260.0,-63.0,3.0,stop,2002-06-10,-1260.0,-63,3.0,LOSE,124.57994079589844,124.57994079589844,0.0,0,0,-0.0,False
7,8,2002-06-11,NYMEX WTI Crude Oil,CL,petroleum,Long,124.47991638183593,2,600.0,30,5.98,1,2002-06-11,124.17991638183594,2.0,-600.0,-30.0,0.0,stop,2002-06-11,-600.0,-30,0.0,LOSE,124.17991638183594,124.17991638183594,0.0,0,0,-0.0,False
8,9,2002-06-12,NYMEX WTI Crude Oil,CL,petroleum,Long,124.8199249267578,2,1280.0,64,5.98,1,2002-10-21,128.87994384765625,2.0,8120.0,406.0,131.0,stop,2002-10-21,8120.0,406,131.0,WIN,128.87994384765625,128.87994384765625,0.0,0,0,0.0,False
9,10,2002-07-01,NYMEX Gold,GC,metal,Long,683.3007568359375,2,400.0,20,5.98,1,2002-07-03,681.30078125,2.0,-400.0,-20.0,2.0,stop,2002-07-03,-400.0,-20,2.0,LOSE,681.30078125,681.30078125,0.0,0,0,-0.0,False
10,11,2002-07-08,NYMEX Gold,GC,metal,Long,683.10078125,2,360.0,18,5.98,1,2002-07-24,681.30078125,2.0,-360.0,-18.0,16.0,stop,2002-07-24,-360.0,-18,16.0,LOSE,681.30078125,681.30078125,0.0,0,0,-0.0,False
11,12,2002-07-11,CBOT Corn,C,grain,Long,485.0,2,1584.0,66,5.98,1,2002-09-23,508.0,2.0,2208.0,92.0,74.0,stop,2002-09-23,2208.0,92,74.0,WIN,508.0,508.0,0.0,0,0,0.0,False
12,13,2002-07-18,CME Australian Dollar AUD,AD,currency,Long,0.19840040464401246,2,660.0,66,5.98,1,2002-07-22,0.19510042667388916,2.0,-660.0,-66.0,4.0,stop,2002-07-22,-660.0,-66,4.0,LOSE,0.19510042667388916,0.19510042667388916,0.0,0,0,-0.0,False
13,14,2002-07-23,CME Australian Dollar AUD,AD,currency,Long,0.19020043449401855,2,1340.0,134,5.98,1,2002-07-23,0.18350040912628174,2.0,-1340.0,-134.0,0.0,stop,2002-07-23,-1340.0,-134,0.0,LOSE,0.18350040912628174,0.18350040912628174,0.0,0,0,-0.0,False
