,id,entrydate,name,symbol,sector,position,entryprice,entrylots,entryrisk,entryrisk_ticks,commission,#exits,exit(0)_date,exit(0)_price,exit(0)_lots,exit(0)_profit,exit(0)_profit_ticks,exit(0)_duration,exit(0)_type,exitdate,profit,profit_ticks,duration,result,currentprice,stopprice,risk,risk_ticks,lots,flame,on_fire
0,1,2002-01-02,CME Australian Dollar AUD,AD,currency,Long,0.1531504008293152,2,2150.0,215,5.98,1,2002-07-17,0.19980043172836304,2.0,9330.0,933.0,196.0,stop,2002-07-17,9330.0,933,196.0,WIN,0.19980043172836304,0.19980043172836304,0.0,0,0,0.0,False
1,13,2002-07-18,CME Australian Dollar AUD,AD,currency,Long,0.19840040464401246,2,660.0,66,5.98,1,2002-07-22,0.19510042667388916,2.0,-660.0,-66.0,4.0,stop,2002-07-22,-660.0,-66,4.0,LOSE,0.19510042667388916,0.19510042667388916,0.0,0,0,-0.0,False
2,14,2002-07-23,CME Australian Dollar AUD,AD,currency,Long,0.19020043449401855,2,1340.0,134,5.98,1,2002-07-23,0.18350040912628174,2.0,-1340.0,-134.0,0.0,stop,2002-07-23,-1340.0,-134,0.0,LOSE,0.18350040912628174,0.18350040912628174,0.0,0,0,-0.0,False
3,15,2002-07-24,CME Australian Dollar AUD,AD,currency,Long,0.1843004189491272,2,700.0,70,5.98,1,2002-07-24,0.1808004379272461,2.0,-700.0,-70.0,0.0,stop,2002-07-24,-700.0,-70,0.0,LOSE,0.1808004379272461,0.1808004379272461,0.0,0,0,-0.0,False
4,16,2002-07-25,CME Australian Dollar AUD,AD,currency,Long,0.18795043382644652,2,1430.0,143,5.98,1,2002-08-05,0.1808004379272461,2.0,-1430.0,-143.0,11.0,stop,2002-08-05,-1430.0,-143,11.0,LOSE,0.1808004379272461,0.1808004379272461,0.0,0,0,-0.0,False
5,20,2002-08-06,CME Australian Dollar AUD,AD,currency,Long,0.17510042543411256,2,400.0,40,5.98,1,2002-08-06,0.17310041189193726,2.0,-400.0,-40.0,0.0,stop,2002-08-06,-400.0,-40,0.0,LOSE,0.17310041189193726,0.17310041189193726,0.0,0,0,-0.0,False
6,21,2002-08-07,CME Australian Dollar AUD,AD,currency,Long,0.18035044708251954,2,1450.0,145,5.98,1,2003-07-15,0.31420040130615234,2.0,26770.0,2677.0,342.0,stop,2003-07-15,26770.0,2677,342.0,WIN,0.31420040130615234,0.31420040130615234,0.0,0,0,0.0,False
7,89,2003-07-16,CME Australian Dollar AUD,AD,currency,Long,0.3177003755569458,2,1020.0,102,5.98,1,2003-07-17,0.31260037422180176,2.0,-1020.0,-102.0,1.0,stop,2003-07-17,-1020.0,-102,1.0,LOSE,0.31260037422180176,0.31260037422180176,0.0,0,0,-0.0,False
8,93,2003-07-18,CME Australian Dollar AUD,AD,currency,Long,0.31230041046142576,2,740.0,74,5.98,1,2003-07-18,0.30860036611557007,2.0,-740.0,-74.0,0.0,stop,2003-07-18,-740.0,-74,0.0,LOSE,0.30860036611557007,0.30860036611557007,0.0,0,0,-0.0,False
9,95,2003-07-21,CME Australian Dollar AUD,AD,currency,Long,0.3135503840446472,2,990.0,99,5.98,1,2003-08-05,0.30860036611557007,2.0,-990.0,-99.0,15.0,stop,2003-08-05,-990.0,-99,15.0,LOSE,0.30860036611557007,0.30860036611557007,0.0,0,0,-0.0,False
10,96,2003-08-06,CME Australian Dollar AUD,AD,currency,Long,0.3142503681182861,2,1390.0,139,5.98,1,2003-08-27,0.3073003888130188,2.0,-1390.0,-139.0,21.0,stop,2003-08-27,-1390.0,-139,21.0,LOSE,0.3073003888130188,0.3073003888130188,0.0,0,0,-0.0,False
11,97,2003-08-28,CME Australian Dollar AUD,AD,currency,Long,0.30740036544799804,2,520.0,52,5.98,1,2003-08-28,0.3048003911972046,2.0,-520.0,-52.0,0.0,stop,2003-08-28,-520.0,-52,0.0,LOSE,0.3048003911972046,0.3048003911972046,0.0,0,0,-0.0,False
12,98,2003-08-29,CME Australian Dollar AUD,AD,currency,Long,0.311650386428833,2,1370.0,137,5.98,1,2003-09-02,0.3048003911972046,2.0,-1370.0,-137.0,4.0,stop,2003-09-02,-1370.0,-137,4.0,LOSE,0.3048003911972046,0.3048003911972046,0.0,0,0,-0.0,False
13,99,2003-09-03,CME Australian Dollar AUD,AD,currency,Long,0.30550038442611693,2,540.0,54,5.98,1,2003-09-03,0.30280041694641113,2.0,-540.0,-54.0,0.0,stop,2003-09-03,-540.0,-54,0.0,LOSE,0.30280041694641113,0.30280041694641113,0.0,0,0,-0.0,False
14,100,2003-09-04,CME Australian Dollar AUD,AD,currency,Long,0.3065504145622253,2,750.0,75,5.98,0,,,,,,,,,0.0,0,,,0.42720043659210205,0.3877003788948059,-7900.0,-790,2,24130.0,True
