,id,entrydate,name,symbol,sector,position,entryprice,entrylots,entryrisk,entryrisk_ticks,commission,#exits,exit(0)_date,exit(0)_price,exit(0)_lots,exit(0)_profit,exit(0)_profit_ticks,exit(0)_duration,exit(0)_type,exitdate,profit,profit_ticks,duration,result,currentprice,stopprice,risk,risk_ticks,lots,flame,on_fire
0,12,2002-07-11,CBOT Corn,C,grain,Long,485.0,2,1584.0,66,5.98,1,2002-09-23,508.0,2.0,2208.0,92.0,74.0,stop,2002-09-23,2208.0,92,74.0,WIN,508.0,508.0,0.0,0,0,0.0,False
1,26,2002-09-24,CBOT Corn,C,grain,Long,504.5,2,264.0,11,5.98,1,2002-09-30,501.75,2.0,-264.0,-11.0,6.0,stop,2002-09-30,-264.0,-11,6.0,LOSE,501.75,501.75,0.0,0,0,-0.0,False
2,27,2002-10-01,CBOT Corn,C,grain,Long,499.5,2,192.0,8,5.98,1,2002-10-11,497.5,2.0,-192.0,-8.0,10.0,stop,2002-10-11,-192.0,-8,10.0,LOSE,497.5,497.5,0.0,0,0,-0.0,False
3,32,2002-10-14,CBOT Corn,C,grain,Long,493.5,2,216.0,9,5.98,1,2002-10-14,491.25,2.0,-216.0,-9.0,0.0,stop,2002-10-14,-216.0,-9,0.0,LOSE,491.25,491.25,0.0,0,0,-0.0,False
4,33,2002-10-15,CBOT Corn,C,grain,Long,497.0,2,552.0,23,5.98,1,2002-11-05,491.25,2.0,-552.0,-23.0,21.0,stop,2002-11-05,-552.0,-23,21.0,LOSE,491.25,491.25,0.0,0,0,-0.0,False
5,42,2002-11-06,CBOT Corn,C,grain,Long,490.75,2,216.0,9,5.98,1,2002-11-06,488.5,2.0,-216.0,-9.0,0.0,stop,2002-11-06,-216.0,-9,0.0,LOSE,488.5,488.5,0.0,0,0,-0.0,False
6,44,2002-11-07,CBOT Corn,C,grain,Long,490.75,2,216.0,9,5.98,1,2002-11-08,488.5,2.0,-216.0,-9.0,1.0,stop,2002-11-08,-216.0,-9,1.0,LOSE,488.5,488.5,0.0,0,0,-0.0,False
7,47,2002-11-11,CBOT Corn,C,grain,Long,484.0,2,192.0,8,5.98,1,2002-11-11,482.0,2.0,-192.0,-8.0,0.0,stop,2002-11-11,-192.0,-8,0.0,LOSE,482.0,482.0,0.0,0,0,-0.0,False
8,49,2002-11-12,CBOT Corn,C,grain,Long,486.75,2,456.0,19,5.98,1,2002-11-25,489.25,2.0,240.0,10.0,13.0,exit,2002-11-25,240.0,10,13.0,WIN,489.25,482.0,-0.0,-29,0,0.0,False
9,102,2003-09-09,CBOT Corn,C,grain,Long,482.75,2,2976.0,124,5.98,1,2003-09-24,463.0,2.0,-1896.0,-79.0,15.0,exit,2003-09-24,-1896.0,-79,15.0,LOSE,463.0,463.0,0.0,0,0,-0.0,False
10,111,2003-11-14,CBOT Corn,C,grain,Long,481.0,2,2616.0,109,5.98,1,2003-12-24,470.75,2.0,-984.0,-41.0,40.0,stop,2003-12-24,-984.0,-41,40.0,LOSE,470.75,470.75,0.0,0,0,-0.0,False
11,112,2003-12-26,CBOT Corn,C,grain,Long,469.5,2,624.0,26,5.98,0,,,,,,,,,0.0,0,,,480.0,463.0,-1632.0,-68,2,1008.0,True
