,id,entrydate,name,symbol,sector,position,entryprice,entrylots,entryrisk,entryrisk_ticks,commission,#exits,exit(0)_date,exit(0)_price,exit(0)_lots,exit(0)_profit,exit(0)_profit_ticks,exit(0)_duration,exit(0)_type,exitdate,profit,profit_ticks,duration,result,currentprice,stopprice,risk,risk_ticks,lots,flame,on_fire
0,3,2002-04-02,NYMEX WTI Crude Oil,CL,petroleum,Long,126.98993591308594,1,6590.0,659,2.99,1,2002-05-30,125.08992004394531,1.0,-1900.0,-190.0,58.0,stop,2002-05-30,-1900.0,-190,58.0,LOSE,125.08992004394531,125.08992004394531,0.0,0,0,-0.0,False
1,4,2002-04-03,NYMEX WTI Crude Oil,CL,petroleum,Long,127.21991760253906,1,6820.0,682,2.99,1,2002-05-30,125.08992004394531,1.0,-2130.0,-213.0,57.0,stop,2002-05-30,-2130.0,-213,57.0,LOSE,125.08992004394531,125.08992004394531,0.0,0,0,-0.0,False
2,6,2002-05-31,NYMEX WTI Crude Oil,CL,petroleum,Long,125.42992248535157,2,1300.0,65,5.98,1,2002-06-06,124.77992248535156,2.0,-1300.0,-65.0,6.0,stop,2002-06-06,-1300.0,-65,6.0,LOSE,124.77992248535156,124.77992248535156,0.0,0,0,-0.0,False
3,7,2002-06-07,NYMEX WTI Crude Oil,CL,petroleum,Long,125.20991638183594,2,1260.0,63,5.98,1,2002-06-10,124.57994079589844,2.0,-1260.0,-63.0,3.0,stop,2002-06-10,-1260.0,-63,3.0,LOSE,124.57994079589844,124.57994079589844,0.0,0,0,-0.0,False
4,8,2002-06-11,NYMEX WTI Crude Oil,CL,petroleum,Long,124.47991638183593,2,600.0,30,5.98,1,2002-06-11,124.17991638183594,2.0,-600.0,-30.0,0.0,stop,2002-06-11,-600.0,-30,0.0,LOSE,124.17991638183594,124.17991638183594,0.0,0,0,-0.0,False
5,9,2002-06-12,NYMEX WTI Crude Oil,CL,petroleum,Long,124.8199249267578,2,1280.0,64,5.98,1,2002-10-21,128.87994384765625,2.0,8120.0,406.0,131.0,stop,2002-10-21,8120.0,406,131.0,WIN,128.87994384765625,128.87994384765625,0.0,0,0,0.0,False
6,36,2002-10-22,NYMEX WTI Crude Oil,CL,petroleum,Long,128.45995239257812,2,820.0,41,5.98,1,2002-10-22,128.04995727539062,2.0,-820.0,-41.0,0.0,stop,2002-10-22,-820.0,-41,0.0,LOSE,128.04995727539062,128.04995727539062,0.0,0,0,-0.0,False
7,37,2002-10-23,NYMEX WTI Crude Oil,CL,petroleum,Long,128.489931640625,2,880.0,44,5.98,1,2002-10-25,128.04995727539062,2.0,-880.0,-44.0,2.0,stop,2002-10-25,-880.0,-44,2.0,LOSE,128.04995727539062,128.04995727539062,0.0,0,0,-0.0,False
8,39,2002-10-28,NYMEX WTI Crude Oil,CL,petroleum,Long,127.45992858886719,2,1120.0,56,5.98,1,2002-10-28,126.89991760253906,2.0,-1120.0,-56.0,0.0,stop,2002-10-28,-1120.0,-56,0.0,LOSE,126.89991760253906,126.89991760253906,0.0,0,0,-0.0,False
9,40,2002-10-29,NYMEX WTI Crude Oil,CL,petroleum,Long,127.5599301147461,2,1320.0,66,5.98,1,2002-10-30,126.89991760253906,2.0,-1320.0,-66.0,1.0,stop,2002-10-30,-1320.0,-66,1.0,LOSE,126.89991760253906,126.89991760253906,0.0,0,0,-0.0,False
