,id,entrydate,name,symbol,sector,position,entryprice,entrylots,entryrisk,entryrisk_ticks,commission,#exits,exit(0)_date,exit(0)_price,exit(0)_lots,exit(0)_profit,exit(0)_profit_ticks,exit(0)_duration,exit(0)_type,exitdate,profit,profit_ticks,duration,result,currentprice,stopprice,risk,risk_ticks,lots,flame,on_fire
0,2,2002-01-07,NYMEX Gold,GC,metal,Long,654.40078125,2,1700.0,85,5.98,1,2002-06-28,681.600830078125,2.0,5440.0,272.0,172.0,stop,2002-06-28,5440.0,272,172.0,WIN,681.600830078125,681.600830078125,0.0,0,0,0.0,False
1,10,2002-07-01,NYMEX Gold,GC,metal,Long,683.3007568359375,2,400.0,20,5.98,1,2002-07-03,681.30078125,2.0,-400.0,-20.0,2.0,stop,2002-07-03,-400.0,-20,2.0,LOSE,681.30078125,681.30078125,0.0,0,0,-0.0,False
2,11,2002-07-08,NYMEX Gold,GC,metal,Long,683.10078125,2,360.0,18,5.98,1,2002-07-24,681.30078125,2.0,-360.0,-18.0,16.0,stop,2002-07-24,-360.0,-18,16.0,LOSE,681.30078125,681.30078125,0.0,0,0,-0.0,False
3,17,2002-07-25,NYMEX Gold,GC,metal,Long,681.10078125,2,720.0,36,5.98,1,2002-07-26,677.5007934570312,2.0,-720.0,-36.0,1.0,stop,2002-07-26,-720.0,-36,1.0,LOSE,677.5007934570312,677.5007934570312,0.0,0,0,-0.0,False
4,18,2002-07-29,NYMEX Gold,GC,metal,Long,673.8007690429688,2,500.0,25,5.98,1,2002-08-01,671.30078125,2.0,-500.0,-25.0,3.0,stop,2002-08-01,-500.0,-25,3.0,LOSE,671.30078125,671.30078125,0.0,0,0,-0.0,False
5,19,2002-08-02,NYMEX Gold,GC,metal,Long,676.10078125,2,1460.0,73,5.98,1,2002-10-15,682.30078125,2.0,1240.0,62.0,74.0,stop,2002-10-15,1240.0,62,74.0,WIN,682.30078125,682.30078125,0.0,0,0,0.0,False
6,34,2002-10-16,NYMEX Gold,GC,metal,Long,682.9007934570312,2,280.0,14,5.98,1,2002-10-17,681.5007934570312,2.0,-280.0,-14.0,1.0,stop,2002-10-17,-280.0,-14,1.0,LOSE,681.5007934570312,681.5007934570312,0.0,0,0,-0.0,False
7,35,2002-10-18,NYMEX Gold,GC,metal,Long,681.90078125,2,660.0,33,5.98,1,2002-10-24,678.600830078125,2.0,-660.0,-33.0,6.0,stop,2002-10-24,-660.0,-33,6.0,LOSE,678.600830078125,678.600830078125,0.0,0,0,-0.0,False
8,38,2002-10-25,NYMEX Gold,GC,metal,Long,681.9007934570312,2,860.0,43,5.98,1,2003-02-18,712.5007934570312,2.0,6120.0,306.0,116.0,stop,2003-02-18,6120.0,306,116.0,WIN,712.5007934570312,712.5007934570312,0.0,0,0,0.0,False
9,63,2003-02-19,NYMEX Gold,GC,metal,Long,714.20078125,2,960.0,48,5.98,1,2003-03-13,709.4007568359375,2.0,-960.0,-48.0,22.0,stop,2003-03-13,-960.0,-48,22.0,LOSE,709.4007568359375,709.4007568359375,0.0,0,0,-0.0,False
