,id,name,entrydate,symbol,sector,position,entryprice,entrylots,entryrisk,entryrisk_ticks,currentprice,stopprice,risk,lots,flame,exitdate,exitprice,exitlots,profit,profit_ticks,duration,result,commission,exittype,on_fire
0,1,CME Australian Dollar AUD,2019-09-10,AD,currency,1,0.6925999952316284,5,9200.0,368,0.6825500213623047,0.6747000217437744,-0.0,0,0.0,2019-09-23,0.6825500213623047,5,-5025.0,-201,13,LOSE,29.900000000000002,exit,False
1,2,CME Australian Dollar AUD,2019-09-11,AD,currency,1,0.6926999884605408,5,9250.0,370,0.6825500213623047,0.6747000217437744,-0.0,0,0.0,2019-09-23,0.6825500213623047,5,-5075.0,-203,12,LOSE,29.900000000000002,exit,False
2,3,CME Australian Dollar AUD,2019-09-12,AD,currency,1,0.692650057888031,5,9225.0,369,0.6825500213623047,0.6747000217437744,-0.0,0,0.0,2019-09-23,0.6825500213623047,5,-5050.0,-202,11,LOSE,29.900000000000002,exit,False
3,4,CME Australian Dollar AUD,2019-09-13,AD,currency,1,0.6930000382423401,5,9400.0,376,0.6825500213623047,0.6747000217437744,-0.0,0,0.0,2019-09-23,0.6825500213623047,5,-5225.0,-209,10,LOSE,29.900000000000002,exit,False
4,5,CME Australian Dollar AUD,2019-09-16,AD,currency,1,0.6930000118255615,5,9400.0,376,0.6825500213623047,0.6747000217437744,-0.0,0,0.0,2019-09-23,0.6825500213623047,5,-5225.0,-209,7,LOSE,29.900000000000002,exit,False
5,6,CBOT Wheat,2019-09-16,W,grain,1,562.75,5,9120.0,152,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,5,2880.0,48,63,WIN,29.900000000000002,exit,False
6,7,CME Australian Dollar AUD,2019-09-17,AD,currency,1,0.6927000118255615,5,9250.0,370,0.6825500213623047,0.6747000217437744,-0.0,0,0.0,2019-09-23,0.6825500213623047,5,-5075.0,-203,6,LOSE,29.900000000000002,exit,False
7,8,CBOT Wheat,2019-09-17,W,grain,1,562.0,5,8940.0,149,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,5,3060.0,51,62,WIN,29.900000000000002,exit,False
8,9,CME Australian Dollar AUD,2019-09-18,AD,currency,1,0.6927000118255615,5,9000.0,360,0.6825500213623047,0.6747000217437744,-0.0,0,0.0,2019-09-23,0.6825500213623047,5,-5075.0,-203,5,LOSE,29.900000000000002,exit,False
9,10,CBOT Wheat,2019-09-18,W,grain,1,560.5,5,8580.0,143,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,5,3420.0,57,61,WIN,29.900000000000002,exit,False
10,11,CME Australian Dollar AUD,2019-09-19,AD,currency,1,0.688850036907196,7,9905.0,283,0.6825500213623047,0.6747000217437744,-0.0,0,0.0,2019-09-23,0.6825500213623047,7,-4410.0,-126,4,LOSE,41.86,exit,False
11,12,CBOT Wheat,2019-09-19,W,grain,1,564.25,5,9480.0,158,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,5,2520.0,42,60,WIN,29.900000000000002,exit,False
12,13,CME Australian Dollar AUD,2019-09-20,AD,currency,1,0.6859500423431396,9,10125.0,225,0.6825500213623047,0.6747000217437744,-0.0,0,0.0,2019-09-23,0.6825500213623047,9,-3060.0,-68,3,LOSE,53.82000000000001,exit,False
13,14,CBOT Wheat,2019-09-20,W,grain,1,562.0,5,8940.0,149,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,5,3060.0,51,59,WIN,29.900000000000002,exit,False
14,15,CBOT Wheat,2019-09-23,W,grain,1,559.75,5,8400.0,140,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,5,3600.0,60,56,WIN,29.900000000000002,exit,False
15,16,CBOT Wheat,2019-09-24,W,grain,1,556.5,6,9144.0,127,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,6,5256.0,73,55,WIN,35.88,exit,False
16,17,CBOT Wheat,2019-09-25,W,grain,1,555.5,6,8856.0,123,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,6,5544.0,77,54,WIN,35.88,exit,False
17,18,CBOT Wheat,2019-09-26,W,grain,1,553.75,6,8352.0,116,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,6,6048.0,84,53,WIN,35.88,exit,False
18,19,CBOT Wheat,2019-09-27,W,grain,1,561.25,5,8760.0,146,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,5,3240.0,54,52,WIN,29.900000000000002,exit,False
19,20,CBOT Wheat,2019-09-30,W,grain,1,565.5,4,7824.0,163,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,4,1776.0,37,49,WIN,23.92,exit,False
20,21,CBOT Wheat,2019-10-01,W,grain,1,571.5,4,8976.0,187,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,4,624.0,13,48,WIN,23.92,exit,False
21,22,CBOT Wheat,2019-10-02,W,grain,1,571.25,4,8928.0,186,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,4,672.0,14,47,WIN,23.92,exit,False
22,23,CBOT Wheat,2019-10-03,W,grain,1,563.5,5,9300.0,155,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,5,2700.0,45,46,WIN,29.900000000000002,exit,False
23,24,CBOT Wheat,2019-10-04,W,grain,1,564.25,5,9480.0,158,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,5,2520.0,42,45,WIN,29.900000000000002,exit,False
24,25,CBOT Wheat,2019-10-07,W,grain,1,566.75,4,8064.0,168,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,4,1536.0,32,42,WIN,23.92,exit,False
25,26,CBOT Wheat,2019-10-08,W,grain,1,567.0,4,8112.0,169,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,4,1488.0,31,41,WIN,23.92,exit,False
26,27,CBOT Wheat,2019-10-09,W,grain,1,575.75,3,7344.0,204,574.75,561.0,-0.0,0,0.0,2019-11-18,574.75,3,-144.0,-4,40,LOSE,17.94,exit,False
27,28,CBOT Wheat,2019-10-10,W,grain,1,575.0,3,7236.0,201,574.75,561.0,-0.0,0,0.0,2019-11-18,574.75,3,-36.0,-1,39,LOSE,17.94,exit,False
28,29,CBOT Wheat,2019-10-11,W,grain,1,571.25,4,8928.0,186,574.75,561.0,-0.0,0,-0.0,2019-11-18,574.75,4,672.0,14,38,WIN,23.92,exit,False
29,30,CBOT Wheat,2019-10-14,W,grain,1,587.75,2,6048.0,252,574.75,561.0,-0.0,0,0.0,2019-11-18,574.75,2,-1248.0,-52,35,LOSE,11.96,exit,False
