,entrydate,exitdate,position,entryprice,entrylots,entryrisk,#exits,profit,profit_ticks,duration,result
0,2019-09-10,2019-09-23,Long,0.6925999952316284,5,9200.0,1,-5025.0,-201,13,LOSE
1,2019-09-11,2019-09-23,Long,0.6926999884605408,5,9250.0,1,-5075.0,-203,12,LOSE
2,2019-09-12,2019-09-23,Long,0.692650057888031,5,9225.0,1,-5050.0,-202,11,LOSE
3,2019-09-13,2019-09-23,Long,0.6930000382423401,5,9400.0,1,-5225.0,-209,10,LOSE
4,2019-09-16,2019-09-23,Long,0.6930000118255615,5,9400.0,1,-5225.0,-209,7,LOSE
5,2019-09-17,2019-09-23,Long,0.6927000118255615,5,9250.0,1,-5075.0,-203,6,LOSE
6,2019-09-18,2019-09-23,Long,0.6927000118255615,5,9000.0,1,-5075.0,-203,5,LOSE
7,2019-09-19,2019-09-23,Long,0.688850036907196,7,9905.0,1,-4410.0,-126,4,LOSE
8,2019-09-20,2019-09-23,Long,0.6859500423431396,9,10125.0,1,-3060.0,-68,3,LOSE
9,2019-10-18,2019-11-15,Long,0.688900056552887,4,6360.0,1,-2320.0,-116,28,LOSE
10,2019-10-21,2019-11-15,Long,0.6910500473976136,4,7220.0,1,-3180.0,-159,25,LOSE
11,2019-10-22,2019-11-15,Long,0.6921500412940979,4,7660.0,1,-3620.0,-181,24,LOSE
12,2019-10-23,2019-11-15,Long,0.6907500209808349,4,7100.0,1,-3060.0,-153,23,LOSE
13,2019-10-24,2019-11-15,Long,0.690600020980835,4,7040.0,1,-3000.0,-150,22,LOSE
14,2019-10-25,2019-11-15,Long,0.6875000528335571,5,7250.0,1,-2200.0,-88,21,LOSE
15,2019-10-28,2019-11-15,Long,0.6879000264167786,5,7450.0,1,-2400.0,-96,18,LOSE
16,2019-10-29,2019-11-15,Long,0.6896500369071961,5,8325.0,1,-3275.0,-131,17,LOSE
17,2019-10-30,2019-11-15,Long,0.6925000345230102,4,7800.0,1,-3760.0,-188,16,LOSE
18,2019-10-31,2019-11-15,Long,0.6958000690460205,3,6840.0,1,-3810.0,-254,15,LOSE
19,2019-11-01,2019-11-15,Long,0.6951000124931336,3,6630.0,1,-3600.0,-240,14,LOSE
20,2019-11-04,2019-11-15,Long,0.6964000395774841,3,7020.0,1,-3990.0,-266,11,LOSE
21,2019-11-05,2019-11-15,Long,0.6940500450134277,4,8420.0,1,-4380.0,-219,10,LOSE
