,entrydate,exitdate,position,entryprice,entrylots,entryrisk,#exits,profit,profit_ticks,duration,result
0,2019-09-16,2019-11-18,Long,562.75,5,9120.0,1,2880.0,48,63,WIN
1,2019-09-17,2019-11-18,Long,562.0,5,8940.0,1,3060.0,51,62,WIN
2,2019-09-18,2019-11-18,Long,560.5,5,8580.0,1,3420.0,57,61,WIN
3,2019-09-19,2019-11-18,Long,564.25,5,9480.0,1,2520.0,42,60,WIN
4,2019-09-20,2019-11-18,Long,562.0,5,8940.0,1,3060.0,51,59,WIN
5,2019-09-23,2019-11-18,Long,559.75,5,8400.0,1,3600.0,60,56,WIN
6,2019-09-24,2019-11-18,Long,556.5,6,9144.0,1,5256.0,73,55,WIN
7,2019-09-25,2019-11-18,Long,555.5,6,8856.0,1,5544.0,77,54,WIN
8,2019-09-26,2019-11-18,Long,553.75,6,8352.0,1,6048.0,84,53,WIN
9,2019-09-27,2019-11-18,Long,561.25,5,8760.0,1,3240.0,54,52,WIN
10,2019-09-30,2019-11-18,Long,565.5,4,7824.0,1,1776.0,37,49,WIN
11,2019-10-01,2019-11-18,Long,571.5,4,8976.0,1,624.0,13,48,WIN
12,2019-10-02,2019-11-18,Long,571.25,4,8928.0,1,672.0,14,47,WIN
13,2019-10-03,2019-11-18,Long,563.5,5,9300.0,1,2700.0,45,46,WIN
14,2019-10-04,2019-11-18,Long,564.25,5,9480.0,1,2520.0,42,45,WIN
15,2019-10-07,2019-11-18,Long,566.75,4,8064.0,1,1536.0,32,42,WIN
16,2019-10-08,2019-11-18,Long,567.0,4,8112.0,1,1488.0,31,41,WIN
17,2019-10-09,2019-11-18,Long,575.75,3,7344.0,1,-144.0,-4,40,LOSE
18,2019-10-10,2019-11-18,Long,575.0,3,7236.0,1,-36.0,-1,39,LOSE
19,2019-10-11,2019-11-18,Long,571.25,4,8928.0,1,672.0,14,38,WIN
20,2019-10-14,2019-11-18,Long,587.75,2,6048.0,1,-1248.0,-52,35,LOSE
21,2019-10-15,2019-11-18,Long,584.5,3,8100.0,1,-1404.0,-39,34,LOSE
22,2019-10-16,2019-11-18,Long,582.0,3,6840.0,1,-1044.0,-29,33,LOSE
23,2019-11-20,2020-02-07,Long,585.75,8,9216.0,1,15264.0,159,79,WIN
24,2019-11-21,2020-02-07,Long,588.75,8,8928.0,1,14112.0,147,78,WIN
25,2019-11-22,2020-02-07,Long,584.0,15,9180.0,1,29880.0,166,77,WIN
26,2019-11-25,2020-02-07,Long,592.25,9,9072.0,1,14364.0,133,74,WIN
27,2019-11-26,2020-02-07,Long,602.0,6,8856.0,1,6768.0,94,73,WIN
28,2019-11-27,2020-02-07,Long,600.75,6,8496.0,1,7128.0,99,72,WIN
29,2019-11-29,2020-02-07,Long,603.5,5,7740.0,1,5280.0,88,70,WIN
30,2019-12-02,2020-02-07,Long,612.5,4,7920.0,1,2496.0,52,67,WIN
31,2019-12-03,2020-02-07,Long,608.25,5,8880.0,1,4140.0,69,66,WIN
32,2019-12-04,2020-02-07,Long,595.75,7,8232.0,1,9996.0,119,65,WIN
33,2019-12-05,2020-02-07,Long,597.5,7,8820.0,1,9408.0,112,64,WIN
34,2019-12-06,2020-02-07,Long,594.0,8,8736.0,1,12096.0,126,63,WIN
35,2019-12-09,2020-02-07,Long,593.75,8,8640.0,1,12192.0,127,60,WIN
36,2019-12-10,2020-02-07,Long,593.5,8,8544.0,1,12288.0,128,59,WIN
37,2020-02-20,2020-02-24,Long,630.5,9,9828.0,1,-7020.0,-65,4,LOSE
38,2020-02-21,2020-02-24,Long,629.0,10,10200.0,1,-7080.0,-59,3,LOSE
39,2020-03-24,2020-04-17,Long,628.5,3,9972.0,1,-4500.0,-125,24,LOSE
40,2020-03-25,2020-04-17,Long,633.25,3,10656.0,1,-5184.0,-144,23,LOSE
41,2020-03-26,2020-04-17,Long,648.0,2,8520.0,1,-4872.0,-203,22,LOSE
42,2020-03-27,2020-04-17,Long,641.5,2,7896.0,1,-4248.0,-177,21,LOSE
43,2020-03-30,2020-04-17,Long,641.75,2,7920.0,1,-4272.0,-178,18,LOSE
44,2020-03-31,2020-04-17,Long,638.75,2,7632.0,1,-3984.0,-166,17,LOSE
45,2020-04-01,2020-04-17,Long,635.75,2,7344.0,1,-3696.0,-154,16,LOSE
46,2020-04-02,2020-04-17,Long,618.5,3,8532.0,1,-3060.0,-85,15,LOSE
47,2020-04-03,2020-04-17,Long,613.0,4,10320.0,1,-3024.0,-63,14,LOSE
48,2020-04-06,2020-04-17,Long,620.5,3,8820.0,1,-3348.0,-93,11,LOSE
49,2020-04-07,2020-04-17,Long,622.75,3,9144.0,1,-3672.0,-102,10,LOSE
50,2020-04-08,2020-04-17,Long,619.0,3,8604.0,1,-3132.0,-87,9,LOSE
51,2020-04-09,2020-04-17,Long,621.0,3,8892.0,1,-3420.0,-95,8,LOSE
52,2020-04-13,2020-04-17,Long,630.25,3,10224.0,1,-4752.0,-132,4,LOSE
53,2020-04-14,2020-04-17,Long,625.5,3,9540.0,1,-4068.0,-113,3,LOSE
54,2020-04-15,2020-04-17,Long,617.75,3,8424.0,1,-2952.0,-82,2,LOSE
55,2020-04-16,2020-04-17,Long,610.0,4,9744.0,1,-2448.0,-51,1,LOSE
56,2020-07-09,2020-08-05,Long,584.25,3,7092.0,1,-1800.0,-50,27,LOSE
57,2020-07-10,2020-08-05,Long,591.75,2,5448.0,1,-1920.0,-80,26,LOSE
58,2020-07-13,2020-08-05,Long,594.0,2,5664.0,1,-2136.0,-89,23,LOSE
59,2020-07-14,2020-08-05,Long,590.25,2,5304.0,1,-1776.0,-74,22,LOSE
60,2020-07-15,2020-08-05,Long,597.25,2,5976.0,1,-2448.0,-102,21,LOSE
61,2020-07-16,2020-08-05,Long,614.5,1,3816.0,1,-2052.0,-171,20,LOSE
62,2020-07-17,2020-08-05,Long,600.75,2,6312.0,1,-2784.0,-116,19,LOSE
63,2020-07-20,2020-08-05,Long,599.0,2,6144.0,1,-2616.0,-109,16,LOSE
64,2020-07-21,2020-08-05,Long,587.25,2,5016.0,1,-1488.0,-62,15,LOSE
65,2020-07-22,2020-08-05,Long,593.25,2,5592.0,1,-2064.0,-86,14,LOSE
66,2020-07-23,2020-08-05,Long,599.0,1,3072.0,1,-1308.0,-109,13,LOSE
67,2020-07-24,2020-08-05,Long,598.0,2,6048.0,1,-2520.0,-105,12,LOSE
68,2020-07-27,2020-08-05,Long,602.75,1,3252.0,1,-1488.0,-124,9,LOSE
69,2020-07-28,2020-08-05,Long,591.25,2,5400.0,1,-1872.0,-78,8,LOSE
70,2020-07-29,2020-08-05,Long,590.0,2,5280.0,1,-1752.0,-73,7,LOSE
71,2020-07-30,2020-08-05,Long,596.5,1,2952.0,1,-1188.0,-99,6,LOSE
72,2020-07-31,2020-08-05,Long,594.25,1,2844.0,1,-1080.0,-90,5,LOSE
73,2020-08-03,2020-08-05,Long,591.25,2,5400.0,1,-1872.0,-78,2,LOSE
74,2020-08-04,2020-08-05,Long,585.0,2,4800.0,1,-1272.0,-53,1,LOSE
75,2020-08-21,2020-11-13,Long,585.75,3,4824.0,1,7956.0,221,84,WIN
76,2020-08-24,2020-11-13,Long,592.25,2,3840.0,1,4680.0,195,81,WIN
77,2020-08-25,2020-11-13,Long,588.25,3,5184.0,1,7596.0,211,80,WIN
78,2020-08-26,2020-11-13,Long,591.75,2,3792.0,1,4728.0,197,79,WIN
79,2020-08-27,2020-11-13,Long,598.0,2,4392.0,1,4128.0,172,78,WIN
80,2020-08-28,2020-11-13,Long,607.5,1,2652.0,1,1608.0,134,77,WIN
81,2020-08-31,2020-11-13,Long,607.0,1,2628.0,1,1632.0,136,74,WIN
82,2020-09-01,2020-11-13,Long,609.75,1,2760.0,1,1500.0,125,73,WIN
83,2020-09-03,2020-11-13,Long,613.75,1,2952.0,1,1308.0,109,71,WIN
84,2020-09-04,2020-11-13,Long,609.5,1,2748.0,1,1512.0,126,70,WIN
85,2020-09-08,2020-11-13,Long,604.75,1,2520.0,1,1740.0,145,66,WIN
86,2020-09-09,2020-11-13,Long,600.5,2,4632.0,1,3888.0,162,65,WIN
87,2020-09-10,2020-11-13,Long,602.25,1,2400.0,1,1860.0,155,64,WIN
88,2020-09-11,2020-11-13,Long,604.5,1,2508.0,1,1752.0,146,63,WIN
89,2020-09-14,2020-11-13,Long,599.0,1,2244.0,1,2016.0,168,60,WIN
90,2020-09-15,2020-11-13,Long,601.5,1,2364.0,1,1896.0,158,59,WIN
91,2020-09-16,2020-11-13,Long,592.75,2,3888.0,1,4632.0,193,58,WIN
92,2020-09-17,2020-11-13,Long,601.0,1,2340.0,1,1920.0,160,57,WIN
93,2020-09-18,2020-11-13,Long,616.5,1,3084.0,1,1176.0,98,56,WIN
94,2020-09-22,2020-11-13,Long,612.25,1,2880.0,1,1380.0,115,52,WIN
95,2020-09-23,2020-11-13,Long,614.25,4,11712.0,1,5136.0,107,51,WIN
96,2020-09-24,2020-11-13,Long,604.75,6,13392.0,1,10440.0,145,50,WIN
97,2020-09-25,2020-11-13,Long,607.5,6,12312.0,1,9648.0,134,49,WIN
98,2020-09-28,2020-11-13,Long,602.0,8,13056.0,1,14976.0,156,46,WIN
99,2020-09-29,2020-11-13,Long,606.75,7,12012.0,1,11508.0,137,45,WIN
100,2020-09-30,2020-11-13,Long,613.5,6,12240.0,1,7920.0,110,44,WIN
101,2020-10-01,2020-11-13,Long,631.75,5,12660.0,1,2220.0,37,43,WIN
102,2020-10-02,2020-11-13,Long,626.25,5,11280.0,1,3540.0,59,42,WIN
103,2020-10-05,2020-11-13,Long,633.0,5,11940.0,1,1920.0,32,39,WIN
104,2020-10-06,2020-11-13,Long,644.5,4,11088.0,1,-672.0,-14,38,LOSE
105,2020-10-07,2020-11-13,Long,651.5,4,12096.0,1,-2016.0,-42,37,LOSE
106,2020-10-08,2020-11-13,Long,666.0,3,11160.0,1,-3600.0,-100,36,LOSE
107,2020-10-09,2020-11-13,Long,652.5,3,9216.0,1,-1656.0,-46,35,LOSE
108,2020-10-12,2020-11-13,Long,649.25,4,11664.0,1,-1584.0,-33,32,LOSE
109,2020-10-13,2020-11-13,Long,653.5,3,9360.0,1,-1800.0,-50,31,LOSE
110,2020-11-25,2020-11-27,Long,667.5,9,13284.0,1,-8640.0,-80,2,LOSE
111,2020-12-16,2021-02-12,Long,651.25,6,11016.0,1,8568.0,119,58,WIN
112,2020-12-17,2021-02-12,Long,649.75,7,12348.0,1,10500.0,125,57,WIN
113,2020-12-18,2021-02-12,Long,659.75,5,11220.0,1,5100.0,85,56,WIN
114,2020-12-21,2021-02-12,Long,659.0,5,11040.0,1,5280.0,88,53,WIN
115,2020-12-22,2021-02-12,Long,664.0,5,12240.0,1,4080.0,68,52,WIN
116,2020-12-23,2021-02-12,Long,667.25,4,10416.0,1,2640.0,55,51,WIN
117,2020-12-24,2021-02-12,Long,679.25,3,9540.0,1,252.0,7,50,WIN
118,2020-12-28,2021-02-12,Long,675.5,4,12000.0,1,1056.0,22,46,WIN
119,2020-12-29,2021-02-12,Long,664.0,5,12240.0,1,4080.0,68,45,WIN
120,2020-12-30,2021-02-12,Long,673.5,4,11616.0,1,1440.0,30,44,WIN
121,2020-12-31,2021-02-12,Long,688.5,3,10872.0,1,-1080.0,-30,43,LOSE
122,2021-01-04,2021-02-12,Long,692.25,2,7608.0,1,-1080.0,-45,39,LOSE
123,2021-01-05,2021-02-12,Long,694.75,2,7848.0,1,-1320.0,-55,38,LOSE
124,2021-01-06,2021-02-12,Long,703.0,2,8640.0,1,-2112.0,-88,37,LOSE
125,2021-01-07,2021-02-12,Long,694.75,2,7848.0,1,-1320.0,-55,36,LOSE
126,2021-01-08,2021-02-12,Long,693.5,2,7728.0,1,-1200.0,-50,35,LOSE
127,2021-01-11,2021-02-12,Long,689.5,2,7344.0,1,-816.0,-34,32,LOSE
128,2021-01-12,2021-02-12,Long,692.25,2,7608.0,1,-1080.0,-45,31,LOSE
129,2021-01-13,2021-02-12,Long,716.5,1,4968.0,1,-1704.0,-142,30,LOSE
130,2021-01-14,2021-02-12,Long,710.75,2,9384.0,1,-2856.0,-119,29,LOSE
131,2021-01-15,2021-02-12,Long,724.0,1,5328.0,1,-2064.0,-172,28,LOSE
